date,STATE,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,POPESTIMATE2019,lat,long
6/22/2021,Alabama,3291351,4759120,1918334,31.96,67.13,1566908,39.12,97.06,5903,23099,4711,0.692,4903185,32.377716,-86.300568
6/22/2021,Alaska,641457,828205,350473,41.84,87.69,306072,47.91,113.21,236,1141,1560,0.775,731545,58.301598,-134.420212
6/22/2021,Arizona,6370509,8027030,3554332,39.19,87.52,2852375,48.83,110.28,22662,19103,2625,0.794,7278717,33.448143,-112.096962
6/22/2021,Arkansas,2191813,2817700,1244203,33.41,72.63,1008252,41.23,93.37,1578,5202,1724,0.778,3017804,34.746613,-92.288986
6/22/2021,California,41639567,48682075,23787425,48.36,105.38,19106214,60.2,123.21,54616,138539,3506,0.855,39512223,38.576668,-121.493629
6/22/2021,Colorado,6056591,6971685,3288025,50.31,105.17,2897391,57.1,121.06,10452,21860,3796,0.869,5758736,39.739227,-104.984856
6/22/2021,Connecticut,4325425,4679635,2358724,59.11,121.32,2107541,66.16,131.26,4708,11729,3290,0.924,3565287,41.764046,-72.682198
6/22/2021,Delaware,1011994,1267835,558318,48.07,103.93,468110,57.34,130.2,1491,3075,3158,0.798,973764,39.157307,-75.519722
6/22/2021,District of Columbia,845387,1054415,425695,50.79,119.79,358432,60.32,149.4,1014,3049,4320,0.802,705749,38.89511,-77.03637
6/22/2021,Florida,20516373,24598425,11302856,44.2,95.52,9493764,52.63,114.53,38916,74557,3471,0.834,21477737,30.438118,-84.281296
6/22/2021,Georgia,8220179,11054215,4511414,35.42,77.42,3760962,42.49,104.11,119924,40155,3782,0.744,10617423,33.749027,-84.388229
6/22/2021,Hawaii,1662911,1930930,978494,50.96,117.45,721474,69.11,136.38,1034,3350,2366,0.861,1415872,21.307442,-157.857376
6/22/2021,Idaho,1303710,1657740,699195,35.31,72.95,631014,39.13,92.76,794,2695,1508,0.786,1787065,43.617775,-116.199722
6/22/2021,Illinois,12629554,14540175,7397909,44.48,99.67,5636577,58.38,114.74,16876,42452,3350,0.869,12671821,39.798363,-89.654961
6/22/2021,Indiana,5490692,6627890,2956811,39.09,81.56,2631397,43.92,98.45,4595,15363,2282,0.828,6732219,39.768623,-86.162643
6/22/2021,Iowa,2995797,3428935,1606401,47.11,94.95,1486467,50.91,108.68,2332,6165,1954,0.874,3155070,41.591087,-93.603729
6/22/2021,Kansas,2444023,3059115,1414574,41.03,83.89,1195293,48.56,105,1952,5109,1754,0.799,2913314,39.048191,-95.677956
6/22/2021,Kentucky,3916111,4416705,2182404,42.27,87.65,1888620,48.85,98.86,5347,12207,2732,0.887,4467673,38.186722,-84.875374
6/22/2021,Louisiana,3281534,4013040,1745077,33.84,70.59,1572948,37.54,86.32,2780,7942,1708,0.818,4648794,30.457069,-91.187393
6/22/2021,Maine,1590298,1840150,885368,60.24,118.31,809799,65.87,136.89,7223,3977,2959,0.864,1344212,44.307167,-69.781693
6/22/2021,Maryland,6682055,8367100,3663387,54.01,110.53,3265050,60.6,138.4,22287,22823,3775,0.799,6045680,38.978764,-76.490936
6/22/2021,Massachusetts,8690573,9638840,4799195,60.1,126.09,4142425,69.63,139.85,10413,25891,3756,0.902,6892503,42.358162,-71.063698
6/22/2021,Michigan,9285546,11540150,5084444,46.14,92.98,4608073,50.91,115.55,8399,25158,2519,0.805,9986857,42.733635,-84.555328
6/22/2021,Minnesota,5758295,6483630,3179283,50.35,102.1,2839353,56.37,114.97,3329,14658,2599,0.888,5639632,44.955097,-93.102211
6/22/2021,Mississippi,1876189,2644245,1061406,29.13,63.04,866979,35.66,88.85,14654,4579,1539,0.71,2976149,32.303848,-90.182106
6/22/2021,Missouri,5013654,6064185,2711600,38.1,81.69,2338257,44.18,98.81,3948,18130,2954,0.827,6137428,38.579201,-92.172935
6/22/2021,Montana,921925,1102395,504275,41.64,86.26,445020,47.18,103.15,376,2014,1884,0.836,1068778,46.585709,-112.018417
6/22/2021,Nebraska,1801883,2070880,975024,45.68,93.15,883644,50.4,107.05,16574,4553,2354,0.87,1934408,40.808075,-96.699654
6/22/2021,Nevada,2696755,3029350,1489557,40.66,87.55,1252492,48.36,98.35,3930,9327,3028,0.89,3080156,39.163914,-119.766121
6/22/2021,New Hampshire,1500723,1813270,838646,54.87,110.37,746009,61.68,133.36,239,2994,2202,0.828,1359711,43.206898,-71.537994
6/22/2021,New Jersey,9949593,11420875,5697232,54.93,112.02,4879364,64.14,128.58,55644,38737,4361,0.871,8882190,40.220596,-74.769913
6/22/2021,New Mexico,2297419,2350215,1276470,52.5,109.57,1100922,60.88,112.08,1392,8525,4066,0.978,2096829,35.68224,-105.939728
6/22/2021,New York,21301120,23649685,11493038,52.32,109.5,10178064,59.08,121.57,32521,73794,3793,0.901,19453561,42.652843,-73.757874
6/22/2021,North Carolina,8534919,11596380,4691299,38.69,81.38,4057362,44.73,110.57,5777,15915,1517,0.736,10488084,35.78043,-78.639099
6/22/2021,North Dakota,635417,709360,331045,38.28,83.38,291720,43.44,93.08,29,917,1203,0.896,762062,46.82085,-100.783318
6/22/2021,Ohio,10519985,12303385,5582498,43.74,90,5112670,47.76,105.26,10723,27857,2383,0.855,11689100,39.961346,-82.999069
6/22/2021,Oklahoma,3200525,3996850,1746376,37.36,80.88,1478500,44.13,101.01,2539,10519,2658,0.801,3956971,35.492207,-97.503342
6/22/2021,Oregon,4445687,5610035,2437641,51.66,105.4,2178921,57.79,133.01,3077,13694,3247,0.792,4217737,44.938461,-123.030403
6/22/2021,Pennsylvania,13651077,15500085,7934904,48.59,106.63,6220429,61.98,121.08,19289,40779,3185,0.881,12801989,40.264378,-76.883598
6/22/2021,Rhode Island,1252559,1497955,676063,57.41,118.24,608186,63.82,141.4,1477,3770,3559,0.836,1059361,41.830914,-71.414963
6/22/2021,South Carolina,4043988,5243315,2212930,37.06,78.54,1908149,42.98,101.84,4852,11235,2182,0.771,5148714,34.000343,-81.033211
6/22/2021,South Dakota,809311,954505,442228,44.7,91.48,395412,49.99,107.9,3474,1370,1549,0.848,884659,44.367031,-100.346405
6/22/2021,Tennessee,5168874,7259850,2799356,34.57,75.69,2361149,40.99,106.31,5223,13903,2036,0.712,6829174,36.16581,-86.784241
6/22/2021,Texas,25095675,31485795,13733578,39.86,86.55,11558001,47.36,108.59,46064,104012,3587,0.797,28995881,30.27467,-97.740349
6/22/2021,Utah,2796552,3203790,1536281,36.49,87.23,1169726,47.92,99.93,37387,8602,2683,0.873,3205958,40.777477,-111.888237
6/22/2021,Vermont,840948,912630,457072,64.45,134.77,402130,73.25,146.26,1015,2136,3423,0.921,623989,44.262436,-72.580536
6/22/2021,Virginia,9057681,10234965,4974473,50.46,106.12,4307288,58.28,119.91,17251,29771,3488,0.885,8535519,37.538857,-77.43364
6/22/2021,Washington,8360146,9315915,4582086,52.93,109.79,4030746,60.17,122.34,331,29187,3833,0.897,7614893,47.035805,-122.905014
6/22/2021,West Virginia,1393244,1878315,767607,36.55,77.74,655022,42.83,104.81,1382,3380,1886,0.742,1792147,38.336246,-81.612328
6/22/2021,Wisconsin,5789766,6072885,3088567,47.99,99.44,2794260,53.05,104.3,3838,13599,2336,0.953,5822434,43.074684,-89.384445
6/22/2021,Wyoming,414810,513015,224025,33.74,71.67,195259,38.71,88.64,1641,671,1159,0.809,578759,41.140259,-104.820236
